id,root_id,name,start_time,assigned_role,special_role,antag_roles,leave_type,leave_time
9172,49565,Cristian Blyant,01:18,Test Subject,"",,Ghosted,01:19
9173,49565,familiar of Self IV,01:08,Animal,"",,Ghosted,01:23
9174,49565,David Jones,00:00,Chief Engineer,"",,Cryopod,01:24
9175,49565,Jed Paynter,01:19,Test Subject,"",,Ghosted in Cryopod,01:29
9176,49565,Clown,00:00,Clown,"",,Disconnected,00:27
9177,49565,Sergey Labuda,00:00,Cargo Technician,"",,Disconnected,00:49
9178,49565,Sergey Kiselev,00:41,Medical Doctor,"",,Disconnected,00:55
9179,49565,Wadim Wolkow,00:55,Test Subject,"",,Disconnected,01:10
9180,49565,Lim Al-Kuds,00:00,Head of Personnel,"",,Disconnected,01:18
9181,49565,familiar of Self XII,01:24,"","",,Disconnected,01:30
9184,49635,Kaylie Pennington,00:00,Station Engineer,"",,Ghosted in Cryopod,00:04
9185,49635,Graham Baker,00:00,Test Subject,"",,Ghosted in Cryopod,00:21
9186,49635,Patrick Kimball,00:00,Station Engineer,"",,Ghosted in Cryopod,00:22
9187,49635,Vichita'Hidanchi'Tichivata,00:00,Scientist,"",,Ghosted in Cryopod,00:26
9188,49635,podkid (405),00:10,"","",,Ghosted,00:30
9189,49635,podkid (405),00:10,"","",,Ghosted,00:32
9190,49635,Dallas Tanner,00:00,Mime,"",,Ghosted,00:35
9191,49635,maintenance drone (422),00:32,Cyborg,"",,Ghosted,00:41
9192,49635,Sofia Hoston,00:00,Warden,"",,Cryopod,00:49
9193,49635,Tamsin Winton,00:23,Librarian,"",,Cryopod,00:51
9194,49635,podkid (405),00:10,"","",,Ghosted,00:51
9195,49635,M'ark M'rshan,00:00,Paramedic,"",,Ghosted in Cryopod,00:54
9196,49635,John Don,00:00,Medical Doctor,"",,Cryopod,01:02
9197,49635,Fanzilia Clark,00:00,Captain,"",,Ghosted,01:07
9198,49635,Jed Paynter,00:00,Security Officer,"",,Ghosted in Cryopod,01:07
9199,49635,Phoenix Roberts,00:35,Research Assistant,"",,Cryopod,01:07
9200,49635,Brycen Willey,00:00,Security Officer,"",,Cryopod,01:09
9201,49635,Jin Relo,00:00,Security Cadet,"",,Ghosted in Cryopod,01:12
9202,49635,Jason Snyder,00:00,Test Subject,"",,Ghosted in Cryopod,01:16
9203,49635,Troy Orgail,00:00,Geneticist,"",,Ghosted,01:16
9204,49635,mouse (114),01:02,Animal,"",,Ghosted,01:20
9205,49635,Shala'Raigar Nar Raina,00:00,Detective,"",,Cryopod,01:22
9206,49635,Oldman Kirsan,00:52,Chef,"",,Cryopod,01:23
9207,49635,Jayson Jones,00:11,Roboticist,"",,Cryopod,01:24
9208,49635,Gordon Best,00:41,Medical Intern,"",,Cryopod,01:25
9209,49635,Avtandil Sirikanovich,00:00,Chief Medical Officer,"",,Cryopod,01:27
9210,49635,Karrl Zarazof,00:47,Botanist,"",,Cryopod,01:27
9211,49635,Aphelios Tildor,00:00,Cargo Technician,"",,Ghosted in Cryopod,01:28
9212,49635,Egor Machilov,00:00,Recycler,Traitor,{Traitor},Ghosted,01:33
9213,49635,Philipp Smith,00:00,Forensic Technician,"",,Cryopod,01:40
9214,49635,Jose Bell,00:00,Technical Assistant,"",,Disconnected,00:38
9215,49635,Phoenix Roberts,00:35,Research Assistant,"",,Disconnected,00:51
9216,49635,maintenance drone (375),00:44,Cyborg,"",,Disconnected,00:57
9217,49635,Evan Hooker,00:00,Test Subject,"",,Disconnected,00:58
9218,49635,Gordon Best,00:41,Medical Intern,"",,Disconnected,00:58
9219,49635,Tony Barbiero,01:09,Test Subject,"",,Disconnected,01:13
9220,49635,Greg Phillips,00:29,Virologist,"",,Disconnected,01:16
9221,49635,Davion Carr,01:09,Research Assistant,"",,Disconnected,01:19
9222,49635,podkid (797),00:10,default,"",,Disconnected,01:29
9223,49635,Ianko Lavr,00:00,Xenoarchaeologist,"",,Disconnected,01:30
9224,49635,Rowan Faust,00:11,Chaplain,"",,Disconnected,01:32
9225,49635,Steven Garrison,01:32,Medical Intern,"",,Disconnected,01:36
9226,49635,maintenance drone (348),00:10,Cyborg,"",,Disconnected,01:40
9227,49635,Henry Dolton,00:00,Janitor,Traitor,{Traitor},Disconnected,01:41
9228,49635,mouse (737),01:40,Animal,"",,Disconnected,01:41
