id,root_id,crewscore,rating,stuffshipped,stuffharvested,oremined,researchdone,eventsendured,powerloss,mess,meals,disease,deadcommand,arrested,traitorswon,roleswon,allarrested,opkilled,disc,nuked,destranomaly,rec_antags,crew_escaped,crew_dead,crew_total,crew_survived,captain,powerbonus,messbonus,deadaipenalty,foodeaten,clownabuse,richestname,richestjob,richestcash,richestkey,dmgestname,dmgestjob,dmgestdamage,dmgestkey
635,49288,-3076,You're All Fired,6,0,69,0,0,11,815,10,0,0,0,0,1,0,0,0,0,0,0,0,9,54,41,"",0,0,0,10,0,"","",0,"","","",0,""
636,49756,4141,Promotions for Everyone,0,4,1641,7,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,7,1,16,8,"",1,0,0,18,0,Amelia Llora,Recycler,4260,NikMaestro,"","",0,""
637,50065,-1670,You're All Fired,13,445,2052,78,0,8,2882,53,0,0,0,0,1,0,0,0,0,580,0,5,18,66,26,{Keegan Hunt},0,0,0,134,16,Artemida Byblikova,Scientist,1080,HE_APTEM,M'ark M'rshan,"",20,morkleb
638,49750,5045,Ambassadors of Discovery,4,96,2489,67,0,2,240,30,0,0,0,0,0,0,0,0,0,0,0,12,0,23,17,"",0,0,0,55,11,Max Russell,Shaft Miner,3495,Foxiq,Jose Butterfill,Head of Personnel,22,Peperspray
639,50177,14718,The Pride of Science Itself,7,146,10391,63,0,0,664,26,0,0,0,0,0,0,0,0,0,0,0,22,3,79,52,{Lim Al-Kuds},1,0,0,271,19,Goodny Mists,Botanist,23053,Goodny,Jon Oliver,Test Subject,0,BigZarik
640,49765,8409,Ambassadors of Discovery,1,319,3570,74,0,0,190,63,0,0,0,0,0,0,0,0,0,0,0,14,3,34,22,"",1,0,0,61,0,Adam Baklazhanov,Botanist,11873,Hohol2007,Westerose Krieg,Atmospheric Technician,0,Tern0220
641,49993,6326,Ambassadors of Discovery,6,88,2576,65,0,0,778,43,0,0,0,0,0,0,5,0,0,0,0,13,9,56,44,{Caiden Howard},1,0,0,76,9,Jayda Stroble,Scientist,715,LiJard,Alisa Don,Psychiatrist,83,Deyneristarg
642,49535,-2982,You're All Fired,0,0,45,7,0,107,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,{Gennady Whiteman},0,0,0,2,0,Albina Djamaeva,Chief Medical Officer,970,Mauzer98,"","",0,""
643,50173,1475,Promotions for Everyone,1,52,4160,61,0,23,2947,24,0,0,0,0,1,0,0,0,0,1521,0,5,4,53,24,"",0,0,0,86,19,Nate Higgers,Test Subject,5510,Barzabelle,Kronos Fanth,Scientist,0,Kronosdyx
644,49492,6896,Ambassadors of Discovery,6,55,2392,82,0,0,1211,15,0,0,0,0,0,0,0,0,0,441,2,27,2,79,45,{Troy Orgail},1,0,0,180,0,Gage Straub,Recycler,3440,Oleg1231,X'qarra X'gurilin,Medical Doctor,0,Bunkyfly
645,49607,3526,Promotions for Everyone,0,18,1886,49,0,1,218,0,0,0,0,0,0,0,0,0,0,0,0,16,0,35,31,{Fanzilia Clark},0,0,0,35,71,Max Russell,Shaft Miner,2510,Foxiq,Grisha Green,Technical Assistant,0,Pikasin
646,49949,4592,Promotions for Everyone,1,258,0,55,0,0,71,16,0,0,0,0,0,0,0,0,0,0,0,4,0,8,6,"",1,0,0,56,0,Keegan Blessig,Test Subject,37040,Krasilnickoffdima,Keegan Blessig,Test Subject,0,Krasilnickoffdima
647,49557,2647,Promotions for Everyone,1,12,35,10,0,0,205,26,0,0,0,0,0,0,0,0,0,0,0,2,1,10,2,{Gennady Whiteman},1,0,0,7,4,Vladimir Nesterenko,Forensic Technician,326,Mental eater,"","",0,""
