id,root_id,name,assigned_role,special_role,antag_roles
7634,49505,Rudolf Wolff,Scientist,"",
7635,49505,Marcus Dilfson,Botanist,"",
10069,49579,Liam O'Shea,Chief Engineer,Traitor,{Traitor}
7636,49506,Sparkle,Clown,"",
7637,49506,Fanzilia Clark,Medical Doctor,Traitor,{Traitor}
7638,49506,Rudolf Wolff,Scientist,"",
7639,49506,Son Of Bucket,Chemist,"",
7640,49506,Fyodor Yamkin,Medical Doctor,"",
7641,49506,Marcus Dilfson,Station Engineer,"",
7642,49506,maintenance drone (573),Cyborg,"",
7643,49506,Alex Ping,Geneticist,"",
7644,49506,Candace Hook,Technical Assistant,"",
7645,49506,Seymour Briggs,Roboticist,"",
7646,49506,MET-356,Cyborg,"",
5442,49436,Paral Dune,Atmospheric Technician,"",
5443,49436,Lim Al-Kuds,MODE,Nuclear Operative,{Nuclear Operative}
5444,49436,Jung Prods,MODE,Nuclear Operative,{Nuclear Operative}
5445,49436,Drill Gnoos,Janitor,"",
5446,49436,Janel Clarke,Xenoarchaeologist,"",
5447,49436,Adam Smail,Security Officer,"",
5448,49436,Henry Leichter,Research Director,"",
5449,49436,Amos Best,Quartermaster,"",
5450,49436,Dirty Honker,Cyborg,"",
5451,49436,Leroy White,Medical Doctor,"",
5452,49436,Calvin Wilson,Test Subject,"",
5453,49436,M'ark M'rshan,MODE,Nuclear Operative,{Nuclear Operative}
5454,49436,Tinara Nero,Xenobiologist,"",
5504,49436,podkid (821),default,"",
10070,49579,Howl Of The Winds,Station Engineer,"",
10071,49579,Kaylie Pennington,Test Subject,"",
10072,49579,Toby Bush,Mime,Traitor,{Traitor}
10073,49579,Dar'zahr,Medical Doctor,"",
10074,49579,Kshchis'sar Nsia,Paramedic,"",
10075,49579,Johnny Blade,Roboticist,"",
10077,49579,Aisha Al-Zahrami,Cargo Technician,"",
10078,49579,Ray Wardle,Quartermaster,"",
10079,49579,Mohamed McDonald,Detective,"",
5455,49436,Kris Merdrod,Atmospheric Technician,"",
5456,49436,Max Murray,Head of Security,"",
5457,49436,Zach'ary S'eelig,MODE,Nuclear Operative,{Nuclear Operative}
5458,49436,Bryan James,Cyborg,"",
5459,49436,Sharm'marsh Roshir,Shaft Miner,"",
5460,49436,Archie Moore,Forensic Technician,"",
5461,49436,Victor Barinov,Medical Doctor,"",
5462,49436,Zayden Fiddler,Recycler,"",
5463,49436,Ma'ajika Shraji,Detective,"",
5464,49436,Steven Koolen,Roboticist,"",
5465,49436,Vincent Rahl,MODE,Nuclear Operative Leader,{Nuclear Operative Leader}
