id,role_id,total_tc,spent_tc
389,1494,20,20
390,1495,20,20
391,1501,28,25
392,1503,20,0
393,1504,20,0
394,1505,20,17
395,1506,20,15
396,1507,20,19
397,1508,20,0
398,1509,20,20
399,1510,20,4
400,1511,20,19
401,1512,20,19
402,1549,127,38
403,1550,158,28
404,1552,0,0
405,1554,20,18
406,1555,28,0
407,1559,20,16
408,1560,20,15
409,1562,28,0
410,1563,20,17
411,1576,20,12
412,1580,20,0
413,1581,28,7
414,1582,20,0
415,1583,20,20
416,1588,20,7
417,1589,0,0
418,1590,20,27
419,1591,20,21
420,1592,20,7
421,1593,20,1
422,1594,20,0
423,1595,20,20
424,1596,20,7
425,1609,20,14
426,1610,20,4
427,1611,20,13
428,1612,20,0
429,1613,20,274
430,1614,20,9
431,1615,20,0
432,1616,20,0
433,1617,20,0
434,1618,20,20
435,1626,20,8
436,1627,20,14
437,1628,20,20
438,1629,20,20
439,1630,20,15
440,1631,20,6
441,1633,20,0
442,1634,20,0
443,1637,20,16
444,1638,20,10
445,1639,20,19
446,1668,20,19
447,1669,20,18
448,1672,20,0
449,1673,20,16
450,1674,20,0
451,1675,0,0
452,1677,20,13
453,1678,20,0
454,1680,20,20
455,1705,28,0
456,1706,0,0
457,1707,28,28
458,1708,20,0
459,1733,28,26
460,1734,20,6
461,1735,20,0
462,1737,28,13
463,1738,20,20
464,1740,20,20
465,1748,20,0
466,1749,20,0
467,1750,0,0
468,1751,20,19
469,1753,20,8
470,1754,20,17
471,1755,20,12
472,1756,20,0
473,1757,20,0
474,1758,20,0
475,1759,20,0
476,1760,20,249
477,1761,0,0
478,1866,0,0
479,1867,20,0
480,1874,20,0
481,1875,20,20
482,1880,20,18
483,1881,20,19
484,1882,20,12
485,1886,20,0
486,1887,20,0
487,1888,20,0
488,1889,20,20
489,1890,20,0
490,1904,20,15
491,1905,20,20
492,1906,20,0
493,1907,20,242
494,1908,20,17
495,1909,20,0
496,1910,20,0
497,1911,20,0
498,1912,20,0
499,1913,20,14
500,1914,20,19
501,1915,20,100
502,1916,20,19
503,1917,20,13
504,1918,20,20
505,1919,20,33
506,1920,20,12
507,1921,20,19
508,1922,28,27
509,1923,28,20
510,1924,20,20
511,1928,20,16
512,1929,20,0
513,1930,20,20
514,1931,20,20
515,1932,20,8
516,1933,20,18
517,1940,0,0
518,1941,20,0
519,1944,20,0
520,1945,28,26
521,1946,20,20
522,1948,20,0
523,1949,20,0
524,1950,20,20
525,1951,20,18
526,1952,20,8
527,1953,20,20
528,1962,20,10
529,1963,20,15
530,1964,20,8
531,1965,20,6
532,1966,28,0
533,2009,20,0
534,2010,20,5
535,2011,20,0
536,2012,28,13
537,2020,20,5
538,2021,28,28
539,2022,28,23
540,2034,20,7
541,2036,20,20
542,2039,20,19
543,2040,20,5
544,2041,20,20
545,2042,20,20
546,2043,20,0
547,2074,20,20
548,2075,20,0
549,2137,20,0
550,2138,28,21
551,2141,20,6
552,2150,28,28
553,2160,20,256
554,2161,20,0
555,2162,20,0
556,2163,20,13
557,2164,20,0
558,2165,20,0
559,2166,0,0
560,2167,20,17
561,2168,20,8
562,2171,20,3
563,2172,20,7
564,2173,28,2
565,2175,20,8
566,2179,20,19
567,2180,0,0
568,2187,20,15
569,2188,20,20
570,2189,20,19
571,2202,20,0
572,2203,20,0
573,2204,20,20
574,2244,0,0
575,2260,20,0
576,2261,28,28
577,2269,20,20
578,2270,20,20
579,2271,20,9
580,2272,20,0
581,2279,20,22
582,2280,20,19
583,2281,20,19
584,2282,20,20
585,2284,40,35
586,2298,0,0
587,2299,28,26
588,2300,20,20
589,2302,20,0
590,2303,20,0
591,2304,20,0
592,2308,20,0
593,2309,20,20
594,2310,20,20
595,2313,20,0
596,2314,20,278
597,2315,20,16
598,2316,20,0
599,2317,20,0
600,2318,20,0
601,2319,20,0
602,2320,20,2
603,2321,20,18
604,2322,20,20
605,2323,20,0
606,2327,20,0
607,2328,20,0
608,2329,0,0
609,2330,20,19
610,2332,20,18
611,2339,20,0
612,2341,20,2
613,2342,20,0
614,2343,20,2
615,2344,20,18
616,2345,20,39
617,2346,20,20
618,2347,20,42
619,2348,0,0
620,2349,0,0
621,2350,20,0
622,2351,20,1
623,2352,20,0
624,2353,20,1
625,2354,20,16
626,2355,20,249
627,2356,20,0
628,2357,20,10
629,2358,20,14
630,2359,20,20
631,2360,20,20
632,2367,20,0
633,2368,20,19
634,2369,20,0
635,2371,20,0
636,2372,20,20
637,2380,20,20
