owner_id,id,name,role_name,is_roundstart_role,type,victory,faction_name,mind_name,mind_ckey
210,891,Revolutionary,Revolutionary,0,/datum/role/rev,1,Revolution,Max Russell,foxiq
210,892,Revolutionary,Revolutionary,0,/datum/role/rev,1,Revolution,Bryan James,calvinmind
210,893,Revolutionary,Revolutionary,0,/datum/role/rev,1,Revolution,Kirill Vasanski,vorzan
210,894,Revolutionary,Revolutionary,0,/datum/role/rev,1,Revolution,Adam Sommer,dudoncheg
210,895,Revolutionary,Revolutionary,0,/datum/role/rev,1,Revolution,Jack Willows,nicolasfuri
210,896,Revolutionary,Revolutionary,0,/datum/role/rev,1,Revolution,Hans Uberman,vkjkfn
210,897,Revolutionary,Revolutionary,0,/datum/role/rev,1,Revolution,Kirill LLisenko,kirysha4345
210,898,Revolutionary,Revolutionary,0,/datum/role/rev,1,Revolution,Henry Dolton,citizenandstation
210,899,Revolutionary,Revolutionary,0,/datum/role/rev,1,Revolution,Zikkykikati,flyingdebil
212,900,Traitor,Traitor,1,/datum/role/traitor,0,Traitor,Alexander Sokolov,dukeoforkney
212,901,Traitor,Traitor,1,/datum/role/traitor,0,Traitor,John Parker,feudeytf
213,902,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Colten Hutton,anron13
213,903,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Vincent Rahl,lotark
214,904,Blob Cerebrate,Blob Cerebrate,0,/datum/role/blob_overmind/cerebrate,1,Blob Conglomerate,Blob Overmind (583),ovechkaden
214,905,Blob Cerebrate,Blob Cerebrate,0,/datum/role/blob_overmind/cerebrate,1,Blob Conglomerate,Blob Overmind (793),mercurialaste
215,906,Traitor,Traitor,0,/datum/role/traitor,1,Traitor,Alpha,valois
216,907,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Hachatachikihachihiha,comi42
216,908,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Kichikahyahihakah,platondegeneratov
216,909,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Hayakakihatika,mentaleater
14,40,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (203),zickusable
14,41,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien larva (74),sheoleo
14,42,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (112),foxiq
14,43,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (241),grozaandgrom
216,910,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Chikahtatitahachakata,zeroinside
216,911,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Tayahikaha,prodocopter
216,912,Vox Raider,Vox Raider,1,/datum/role/vox_raider,1,Vox Shoal,Hayakahtakaki,stepansamp228pos
218,913,Shadowling,Shadowling,1,/datum/role/shadowling,1,Shadowlings,Cold Winds Of Winter,sigitz
218,914,Shadowling,Shadowling,1,/datum/role/shadowling,1,Shadowlings,Rafael Sunders,colonist
218,915,Thrall,Thrall,0,/datum/role/thrall,1,Shadowlings,Jesus Exery,flexrelax
218,916,Thrall,Thrall,0,/datum/role/thrall,1,Shadowlings,Demian Norton,divinename
218,917,Thrall,Thrall,0,/datum/role/thrall,1,Shadowlings,Yords Zlso,oleg1231
218,918,Thrall,Thrall,0,/datum/role/thrall,1,Shadowlings,M'ark M'rshan,morkleb
218,919,Thrall,Thrall,0,/datum/role/thrall,1,Shadowlings,Evgeniy Barabulka,ruraga
219,920,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Carlos Patel,chebyrek20
220,921,Blob Overmind,Blob Overmind,0,/datum/role/blob_overmind,1,Blob Conglomerate,Blob Overmind (378),kenariys
221,922,Traitor,Traitor,1,/datum/role/traitor,0,Traitor,Cristian Blyant,david123321
221,923,Traitor,Traitor,1,/datum/role/traitor,0,Traitor,Vladimir Nesterenko,mentaleater
221,924,Traitor,Traitor,1,/datum/role/traitor,0,Traitor,Malificient,ilia12bkmz12
221,925,Traitor,Traitor,1,/datum/role/traitor,0,Traitor,Katyusha Morozova,platondegeneratov
299,1214,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Jason Snyder,xazard
299,1215,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Isaiah Vader,maleyvich
299,1216,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Gleb Vinni,kuklaiva
299,1217,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Ron,tinary
300,1218,Blob Cerebrate,Blob Cerebrate,0,/datum/role/blob_overmind/cerebrate,1,Blob Conglomerate,Blob Overmind (86),kent0
300,1219,Blob Cerebrate,Blob Cerebrate,0,/datum/role/blob_overmind/cerebrate,1,Blob Conglomerate,Blob Overmind (117),stepansamp228pos
223,926,TraitorChan,TraitorChan,1,/datum/role/changeling/traitor,1,TraitorChan,Vadim Kapustin,precisionandgrace
223,927,TraitorChan,TraitorChan,1,/datum/role/changeling/traitor,0,TraitorChan,Stefan Ray,phoenixkarel
224,928,Traitor,Traitor,1,/datum/role/traitor,0,Traitor,Emil Lloyd,deadfan
