id,deaths_id,brute,fire,toxin,oxy,clone,brain
573,633,0,111.5,59,32.3333,0,0
574,634,120.5,67.5,15,29.3333,0,70
575,635,12.02,0,51,137,4,24
576,636,38,0,10,18,0,70
577,637,39,0,10,20,0,0
578,638,42,0,14,22,0,0
579,639,0,0,16,59,0,0
580,640,176.2,0,0,24,0,0
581,641,113.6,0,0,87.5,0,0
582,642,45.7,0,28,0,0,20
583,643,180,0,0,37.3333,0,0
584,644,105.1,0,8.5,86.6666,0,20
585,645,93.8,76,28.75,4,0,0
586,646,82.8,28,45.5,23.6667,0,0
587,647,310,0,0,0,0,0
588,648,0,235,0,3.66667,0,0
589,649,55.9,138,0,9.33333,0,0
590,651,86.6,0,31.15,82.6666,0,0
591,652,0,223.8,0,0,0,70
592,653,0,0,160,40.3333,0,0
593,654,30,0,0,0,0,0
594,656,3,75.4,83,40,0,0
595,657,0,0,192,8.66667,0,0
596,658,0.4,188.3,12.875,7,0,0
597,659,40.2,157,0,7.33333,0,0
598,660,22.1,172,0,6.66667,0,0
599,661,0,196,0,7.33333,0,0
600,662,0,37.8,60,106,0,0
601,666,10.7,167.5,0,24,0,0
602,667,83.4,112.9,0,4,0,0
603,668,0,145.8,0,55.3334,0,0
604,669,84.7,92.8,3,26.3333,0,80
605,670,0,76.6,84,41,0,0
606,671,20,160.4,0,20.5,0,0
607,672,181.8,0,0,21.3333,0,20
608,673,0,82.1,83,39.6667,0,0
609,674,0,98.2,102,4.66667,0,0
610,675,0,151.8,0,49.0735,0,0
611,676,33.6,179.1,0,0,0,0
612,677,43.1,132.5,0,27,0,0
613,678,70,0,0,0,200,0
614,679,95,99,0,8,0,0
615,680,7.4,40,0,0,200,0
616,681,106.8,69,19,8.66667,0,0
617,682,0,0,76,131.667,0,0
618,683,42.5,141,1,20.6667,0,0
619,684,124,59.5,0,19.3333,0,20
620,685,50,0,36,119,0,0
621,686,43,140,0,17.3333,0,20
622,687,36,0,200,0.666667,0,20
623,688,150,0,0,57,0,20
624,689,105.1,108,0,14.6667,0,0
625,690,0,50,3,0,200,0
626,691,200.8,0,6,6,0,20
627,692,27,0,164,10,0,0
628,693,75,0,111,43.3333,0,0
629,694,0,0,75,129,0,70
630,695,330,0,0,0,0,0
631,696,171.1,46.8,0,0,0,0
632,697,110,0,0,90.3333,0,0
633,698,44.1,147.4,7.2,2.66667,0,0
634,699,90,40,3,68,0,0
635,700,0,0,0,200,0,0
636,701,105,65.7,3,37.5114,0,20
637,702,22.7,168,13,1.33333,0,0
638,703,98.3,0,0,102.667,0,0
639,704,0,0,0,200,0,10.4799
640,705,76.8,0.8,12,111.667,0,0
641,706,87.3,1.9,0,111.333,0,0
642,707,22.4,155.1,13,11,0,18.7733
643,708,150.4,46.4,14,3,0,0
644,709,0,0,78,126.333,0,44.1866
645,710,170.8,0,14,28.3333,0,3.5
646,711,0,0,1,4,0,0
647,712,0,0,1,4,0,0
648,713,117.5,66,10.15,8.66667,0,0
649,716,133,68,0,2.66667,0,0
650,717,119,81,0,0,0,0
651,718,126,80,0,3.33333,0,0
652,719,127.3,71.3,0,2.66667,0,0
653,720,103,98,0,0,0,0
654,721,22.2,182,0,0,0,0
655,722,36.9,163,0,2.16667,0,0
656,723,151.8,51,0,0,0,0
657,724,131.8,67,0,2.66667,0,0
658,725,140,67,0,3.33333,0,0
659,726,129.9,71,0,2.66667,0,0
660,727,135.7,72,0,3.33333,0,0
661,728,76.8,117,0,7.33333,0,0
662,729,0.6,80.8,2,116.667,0,0
663,730,63.8,134,0,4.66667,0,0
664,731,17.4,184,0,4,0,0
665,732,0,195,0,6.66667,0,0
666,733,0,182.8,0,18,0,0
667,734,0,180,0,20,0,0
668,735,142.43,58.1,0,0,0,0
669,736,0,146,0,6.66667,0,0
670,737,0,194,0,7.33333,0,0
671,738,0,194.1,1,8,0,0
672,739,201.85,0,0,0,0,0
673,740,30.8,162,0,9.33333,0,0
674,741,192,0,3,28.3333,0,0
675,742,168,40,5,1.33333,0,0
676,743,200,0,0,34.3333,0,0
677,744,200,0,0,1.33333,0,20
678,745,100,0,10,91.6666,0,20
679,746,240,0,0,7.33333,0,20
680,747,36,0,13,0,0,0
681,748,103.9,0,1,95.1,0,0
682,749,87,114.4,0,4,0,0
683,750,150,0,0,50.3333,0,0
684,751,175.6,0,0,25,0,0
685,752,0,202.6,0,4,0,0
686,753,0,0,75,128,0,0
687,754,36,0,16,20,0,0
688,755,80,0,9,106.255,6,20
689,756,38.4,0,27,21,0,0
690,757,0,156,0,44,0,0
691,758,0,0,0,200,0,0
692,759,14.6,0,8,5,0,20
693,760,216,0,0,5,0,0
694,761,216,0,0,27,0,0
695,762,35.1,0,48,124,0,0
696,763,180,0,0,34.3333,0,0
697,764,0,80,0,0,0,0
698,765,182.8,0,0,22.6667,0,42.6044
699,766,0,41,57,106,0,0
700,767,0,0,84,118.333,0,20
701,768,190.5,0,0,11.6667,0,74.151
702,769,189.9,0,0,11.6667,0,74.151
703,770,241.9,0,0,43,0,0
704,771,202.2,2,0,0.666667,0,74.151
705,772,168.3,125,0,50.3333,0,0
706,773,21.4,10.3,75,89,0,0
707,774,26.2,276,0,0,0,0
708,775,18.1,148,2,31.9949,0,0
709,776,123.7,20,0,59.3333,0,0
710,777,41,0,30,0,0,0
711,778,113.2,0,0,87.6666,0,0
712,779,323,0,0,0,0,0
713,780,241.6,0,6,2.66667,0,20
714,781,0,18,0,73,0,0
715,782,0,360,0,0,0,0
716,783,40,360,0,0,0,0
717,784,30,223,0,16.6667,0,0
718,785,152.5,24.4,0,10.3333,0,20
719,786,104.7,0,0,95.3,0,0
