root_id,id,name,faction_name,minor_victory,type,victory
49918,855,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49918,856,Blob Conglomerate,Blob Conglomerate,0,/datum/faction/blob_conglomerate,0
49920,857,Changeling Hivemind,Changeling Hivemind,0,/datum/faction/changeling,0
49920,858,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49920,859,Blob Conglomerate,Blob Conglomerate,0,/datum/faction/blob_conglomerate,0
49920,860,Spider Clan,Spider Clan,0,/datum/faction/ninja,0
49922,861,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49922,862,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49922,863,Blob Conglomerate,Blob Conglomerate,0,/datum/faction/blob_conglomerate,1
49925,864,Vox Shoal,Vox Shoal,0,/datum/faction/heist,1
49925,865,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49926,866,Traitors,Traitor,0,/datum/faction/traitor,0
49926,867,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49927,868,Mothership Nu,Abductor Team,0,/datum/faction/abductors,0
49927,869,Mothership Alpha,Abductor Team,0,/datum/faction/abductors,1
49927,870,Mothership Mu,Abductor Team,0,/datum/faction/abductors,0
49927,871,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49929,872,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,1
49929,873,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49930,874,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49930,875,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49931,876,Syndicate Operatives,Syndicate Operatives,0,/datum/faction/nuclear,1
49931,877,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49935,878,Changeling Hivemind,Changeling Hivemind,0,/datum/faction/changeling,0
49935,879,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49936,880,Traitors,Traitor,0,/datum/faction/traitor,0
49936,881,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49937,882,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,0
49937,883,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49945,884,Traitors,Traitor,0,/datum/faction/traitor,1
49945,885,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49947,886,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49947,887,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49948,888,Traitors,Traitor,0,/datum/faction/traitor,1
49948,889,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49950,890,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,1
49950,891,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49954,892,Traitors,Traitor,0,/datum/faction/traitor,0
49954,893,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49956,894,Traitors,Traitor,0,/datum/faction/traitor,0
49956,895,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49957,896,Traitors,Traitor,0,/datum/faction/traitor,0
49957,897,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49959,898,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49959,899,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49961,900,Revolutionaries,Revolution,0,/datum/faction/revolution,0
49961,901,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49962,902,Traitors,Traitor,0,/datum/faction/traitor,1
49962,903,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49965,904,Traitors,Traitor,0,/datum/faction/traitor,1
49965,905,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49965,906,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,0
49968,907,Changeling Hivemind,Changeling Hivemind,0,/datum/faction/changeling,0
49968,908,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49970,909,Traitors,Traitor,0,/datum/faction/traitor,0
49970,910,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49971,911,Zobmies,Zobmies,0,/datum/faction/zombie,0
49971,912,Props,Props,0,/datum/faction/props,0
49972,913,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,1
49972,914,Props,Props,0,/datum/faction/props,1
49976,915,Traitors,Traitor,0,/datum/faction/traitor,0
49976,916,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49976,917,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,0
49983,918,Traitors,Traitor,0,/datum/faction/traitor,0
49983,919,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49984,920,Traitors,Traitor,0,/datum/faction/traitor,0
49984,921,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49986,922,Vox Shoal,Vox Shoal,0,/datum/faction/heist,1
49986,923,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49988,924,Traitors,Traitor,0,/datum/faction/traitor,0
49988,925,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49988,926,Blob Conglomerate,Blob Conglomerate,0,/datum/faction/blob_conglomerate,0
