id,uplink_info_id,cost,bundlename,item_type
563,202,5,EMP Grenades,/obj/item/weapon/storage/box/emps
564,202,1,Full Syndicate Toolbox,/obj/item/weapon/storage/toolbox/syndicate
565,202,1,Full Syndicate Toolbox,/obj/item/weapon/storage/toolbox/syndicate
566,202,1,Full Syndicate Toolbox,/obj/item/weapon/storage/toolbox/syndicate
567,202,16,Energy Shield,/obj/item/weapon/shield/energy
568,202,16,Energy Shield,/obj/item/weapon/shield/energy
569,202,7,Energy Sword,/obj/item/weapon/melee/energy/sword
570,202,7,Energy Sword,/obj/item/weapon/melee/energy/sword
571,202,7,Viscerator Delivery Grenade,/obj/item/weapon/grenade/spawnergrenade/manhacks
572,202,7,Viscerator Delivery Grenade,/obj/item/weapon/grenade/spawnergrenade/manhacks
573,202,3,EMP Implant,/obj/item/weapon/storage/box/syndie_kit/imp_emp
574,202,4,Bag of C-4 explosives,/obj/item/weapon/storage/backpack/dufflebag/c4
575,202,2,9mm Handgun Magazine,/obj/item/ammo_box/magazine/m9mm
576,202,2,9mm Handgun Magazine,/obj/item/ammo_box/magazine/m9mm
577,202,2,9mm Handgun Magazine,/obj/item/ammo_box/magazine/m9mm
578,202,3,Speedloader-.357,/obj/item/ammo_box/a357
579,202,3,Speedloader-.357,/obj/item/ammo_box/a357
580,202,2,Dart Pistol,/obj/item/weapon/gun/syringe/syndicate
581,202,7,Energy Sword,/obj/item/weapon/melee/energy/sword
582,202,16,Energy Shield,/obj/item/weapon/shield/energy
583,202,7,Energy Sword,/obj/item/weapon/melee/energy/sword
584,202,6,Syndicate Minibomb,/obj/item/weapon/grenade/syndieminibomb
585,202,1,Composition C-4,/obj/item/weapon/plastique
586,202,2,Camera Bug,/obj/item/device/camera_bug
587,202,7,Drop Pod,/obj/item/device/drop_caller/Syndi
588,202,6,Simple Drop System,/obj/item/weapon/simple_drop_system
589,202,10,Syndicate Medical Supply Kit,/obj/item/weapon/storage/firstaid/tactical
590,205,4,Bag of C-4 explosives,/obj/item/weapon/storage/backpack/dufflebag/c4
591,205,4,Bag of C-4 explosives,/obj/item/weapon/storage/backpack/dufflebag/c4
592,207,7,Compressed Implant,/obj/item/weapon/implanter/storage
593,207,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
594,207,6,Adrenaline Implant,/obj/item/weapon/storage/box/syndie_kit/imp_adrenaline
595,207,1,Composition C-4,/obj/item/weapon/plastique
596,208,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
597,208,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
598,208,14,Syndicate drone,/obj/item/weapon/storage/box/syndie_kit/drone
599,209,4,Bag of C-4 explosives,/obj/item/weapon/storage/backpack/dufflebag/c4
600,209,4,Syndicate Space Suit,/obj/item/weapon/storage/box/syndie_kit/space
601,209,1,Full Syndicate Toolbox,/obj/item/weapon/storage/toolbox/syndicate
602,209,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
603,210,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
604,210,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
605,210,6,Adrenaline Implant,/obj/item/weapon/storage/box/syndie_kit/imp_adrenaline
606,215,1,Syndicate Briefcase Full of Cash,/obj/item/weapon/storage/secure/briefcase/syndie
607,215,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
608,215,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
609,215,3,Explosive Implant,/obj/item/weapon/implanter/explosive
610,215,3,Explosive Implant,/obj/item/weapon/implanter/explosive
611,217,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
612,217,3,Explosive Implant,/obj/item/weapon/implanter/explosive
613,219,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
614,219,5,Chameleon-Projector,/obj/item/device/chameleon
615,220,5,Chameleon-Projector,/obj/item/device/chameleon
616,220,4,Syndicate Space Suit,/obj/item/weapon/storage/box/syndie_kit/space
617,220,5,Thermal Imaging Glasses,/obj/item/clothing/glasses/thermal/syndi
618,220,5,EMP Grenades,/obj/item/weapon/storage/box/emps
619,220,1,Smuggler's Satchel,/obj/item/weapon/storage/backpack/satchel/flat
620,222,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
621,222,7,Compressed Implant,/obj/item/weapon/implanter/storage
622,222,8,TR-8-R Revolver,/obj/item/weapon/gun/projectile/revolver/traitor
623,222,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
624,223,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
625,223,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
626,223,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
627,225,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
628,225,3,Explosive Implant,/obj/item/weapon/implanter/explosive
629,225,1,No-Slip Brown Shoes,/obj/item/clothing/shoes/syndigaloshes
